Property Name,Property Cost,Property Type,Property Area,Property Locality
Joyville Virar By Shapoorji Pallonji,₹ 31.66 - 72.67 L,1 BHKApartment,(32.49 - 56.13 sq.m.),Bolinj-Sopara RoadVirar Railway StationOld Viva CollegeThe Capital MallRiddhi Vinayak Multispeciality Hospital
Kailash Gardens Lotus,₹ 46 - 57.5 L,1 BHKApartment,(39.48 - 48.77 sq.m.),N/A
Roswalt Zaiden,₹ 1.05 Cr,1 BHKApartment,(37.25 sq.m.),Western Express WayWestern ExpressRuby HospitalOshiwara BMCInfiniti Mall
Ashar Pulse,₹ 66 - 92 L,1 BHKApartment,(28.61 - 40.97 sq.m.),"Ghodbunder RoadSpring Buds International SchoolLake City MallFortune Park Lake City, ThaneKapurbawdi Metro Station"
Dosti West County,₹ 73 - 85 L,1 BHKApartment,(45.15 - 47.57 sq.m.),Narayana e-Techno SchoolCinépolisLake City MallCP Goenka International SchoolMajiwada Bridge
Lodha Amara,₹ 79 - 96.82 L,1 BHKApartment,(41.43 sq.m.),"Cosmos MallSt . Xaviers English High School ManpadaUniversity of Mumbai Thane Sub-CampusJupiter Hospital, ThaneChhatrapati Shivaji Maharaj Int. Airport"
Anantham Rainbow County,₹ 68 L,2 BHKApartment,(89.09 sq.m.),National Highway 48Hiranandani Trust SchoolRees HospitalChhatrapati Shivaji Maharaj UniversityND's Film World
Lodha World Towers,₹ 7.49 - 10.22 Cr,3 BHKApartment,(147.07 - 159.98 sq.m.),Tata Memorial Cancer HospitalPeninsula Business ParkPhoenix Palladium MallParel StationLower Parel Station
Shubham Jijai Angan,Price on Request,1 BHKApartment,(35.67 - 44.59 sq.m.),Multispecialty HospitalDmartMumbai Pune ExpresswayMetro StationFootball Stadium
Natasha Atlantis,₹ 76.5 - 77.46 L,1 BHKApartment,(37.16 - 37.63 sq.m.),Veekays English High SchoolRuby HospitalMaharashtra National Law UniversityVikhroli StationCSM International Airport
Kolte Patil Alora,₹ 2.77 Cr,2 BHKApartment,(69.58 sq.m.),Shastri Nagar BMC SchoolMumbai UniversityJagruti NagarGhatkopar railway stationR City Mall
Gami Asters,₹ 1.67 - 1.9 Cr,2 BHKApartment,(62.62 - 69.86 sq.m.),Ghansoli Railway stationGhansoli central parkBalaji Theatre
Bliss Delight,₹ 54.56 - 58.09 L,2 BHKApartment,(115.2 - 119.84 sq.m.),N/A
Rishita Mulberry Heights,₹ 73.48 L - 1.31 Cr,2 BHKApartment,(74.6 - 111.11 sq.m.),Medanta HospitalInternational Cricket StadiumPhoenix Palassio MallUpcoming Lulu MallGomti Nagar
